Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
O75151,ENSG00000197724.11,ENST00000359246.9,ENSP00000352185.4,PHF2,9,1096
Q9ULM0,ENSG00000054690.14,ENST00000329153.10,ENSP00000330278.5,PLEKHH1,14,1364
P54278,ENSG00000122512.16,ENST00000265849.12,ENSP00000265849.7,PMS2,7,862
Q7Z6Z6,ENSG00000100341.12,ENST00000216177.8,ENSP00000216177.3,PNPLA5,22,429
Q16512,ENSG00000123143.12,ENST00000242783.10,ENSP00000242783.6,PKN1,19,942
Q8IZ21,ENSG00000204138.13,ENST00000373839.8,ENSP00000362945.3,PHACTR4,1,702
P20265,ENSG00000184486.10,ENST00000328345.8,ENSP00000329170.5,POU3F2,6,443
P0CW24,ENSG00000235961.5,ENST00000421798.4,ENSP00000391488.2,PNMA6A,X,399
Q15435,ENSG00000115685.15,ENST00000234038.11,ENSP00000234038.6,PPP1R7,2,360
P53816,ENSG00000176485.11,ENST00000415826.1,ENSP00000389124.1,PLAAT3,11,162
Q7Z5L7,ENSG00000174348.14,ENST00000312553.10,ENSP00000308315.6,PODN,1,613
Q9H3Y8,ENSG00000125534.10,ENST00000370179.8,ENSP00000359198.3,PPDPF,20,114
Q9H237,ENSG00000102312.22,ENST00000326194.10,ENSP00000322304.6,PORCN,X,461
P35080,ENSG00000070087.14,ENST00000239940.11,ENSP00000239940.7,PFN2,3,140
P79522,ENSG00000223887.10,ENST00000454399.6,ENSP00000392826.2,PRR3,CHR_HSCHR6_MHC_DBB_CTG1,188
Q86YN6,ENSG00000155846.17,ENST00000309241.10,ENSP00000312649.5,PPARGC1B,5,1023
Q92626,ENSG00000130508.11,ENST00000252804.9,ENSP00000252804.4,PXDN,2,1479
Q16647,ENSG00000124212.6,ENST00000244043.5,ENSP00000244043.3,PTGIS,20,500
P61289,ENSG00000131467.11,ENST00000590720.6,ENSP00000466794.1,PSME3,17,254
Q3KNS1,ENSG00000276595.4,ENST00000617711.4,ENSP00000484143.1,PTCHD3,CHR_HSCHR10_1_CTG1,767
P35236,ENSG00000143851.15,ENST00000495688.5,ENSP00000420506.1,PTPN7,1,360
P22102,ENSG00000159131.17,ENST00000381839.7,ENSP00000371261.3,GART,21,1010
Q06203,ENSG00000128059.8,ENST00000264220.6,ENSP00000264220.2,PPAT,4,517
Q12923,ENSG00000163629.13,ENST00000411767.7,ENSP00000407249.2,PTPN13,4,2485
Q9H5N1,ENSG00000177548.13,ENST00000358201.9,ENSP00000350934.4,RABEP2,16,569
Q7Z6M1,ENSG00000136933.17,ENST00000394125.8,ENSP00000377683.4,RABEPK,9,372
O14949,ENSG00000164405.11,ENST00000378665.1,ENSP00000367934.1,UQCRQ,5,82
P20337,ENSG00000169213.7,ENST00000371655.4,ENSP00000360718.3,RAB3B,1,219
Q96B01,ENSG00000111247.14,ENST00000228843.13,ENSP00000228843.9,RAD51AP1,12,352
Q13637,ENSG00000118508.5,ENST00000367495.4,ENSP00000356465.3,RAB32,6,225
P61106,ENSG00000119396.11,ENST00000373840.9,ENSP00000362946.4,RAB14,9,215
Q9NP72,ENSG00000099246.16,ENST00000356940.10,ENSP00000349415.6,RAB18,10,206
Q92698,ENSG00000085999.13,ENST00000442598.5,ENSP00000396113.1,RAD54L,1,747
P11217,ENSG00000068976.14,ENST00000164139.4,ENSP00000164139.3,PYGM,11,842
Q96DA2,ENSG00000155961.5,ENST00000369454.4,ENSP00000358466.3,RAB39B,X,213
Q8TDY2,ENSG00000023287.13,ENST00000025008.10,ENSP00000025008.5,RB1CC1,8,1594
O14593,ENSG00000064490.14,ENST00000407360.7,ENSP00000384572.3,RFXANK,19,260
Q15669,ENSG00000168421.13,ENST00000614836.1,ENSP00000478248.1,RHOH,4,191
P35251,ENSG00000035928.16,ENST00000381897.5,ENSP00000371321.1,RFC1,4,1148
Q9NZL6,ENSG00000143344.15,ENST00000360851.3,ENSP00000354097.3,RGL1,1,768
P32969,ENSG00000163682.16,ENST00000449470.6,ENSP00000400467.2,RPL9,4,192
Q92730,ENSG00000172602.11,ENST00000309739.6,ENSP00000308461.5,RND1,12,232
Q8NCN4,ENSG00000166439.6,ENST00000299563.5,ENSP00000299563.4,RNF169,11,708
Q9H9V4,ENSG00000133874.2,ENST00000256257.2,ENSP00000256257.1,RNF122,8,155
Q13905,ENSG00000107263.18,ENST00000372189.7,ENSP00000361263.2,RAPGEF1,9,1077
Q15287,ENSG00000205937.12,ENST00000301730.12,ENSP00000301730.8,RNPS1,16,305
Q9H0A6,ENSG00000105982.16,ENST00000392743.6,ENSP00000376499.2,RNF32,7,362
O15318,ENSG00000113356.12,ENST00000651687.1,ENSP00000498469.1,POLR3G,5,223
P52434,ENSG00000163882.9,ENST00000456318.5,ENSP00000392913.1,POLR2H,3,150
P52435,ENSG00000005075.15,ENST00000292614.9,ENSP00000292614.5,POLR2J,7,117
P62847,ENSG00000138326.21,ENST00000613865.5,ENSP00000478869.2,RPS24,10,133
Q9H9S3,ENSG00000065665.21,ENST00000298428.14,ENSP00000298428.9,SEC61A2,10,476
P48443,ENSG00000143171.13,ENST00000359842.10,ENSP00000352900.5,RXRG,1,463
Q9H2J7,ENSG00000072041.17,ENST00000266682.10,ENSP00000266682.5,SLC6A15,12,730
Q96RN1,ENSG00000112053.14,ENST00000355574.6,ENSP00000347778.2,SLC26A8,6,970
Q8N3Y3,ENSG00000165905.18,ENST00000325468.9,ENSP00000324570.5,LARGE2,11,721
P42704,ENSG00000138095.19,ENST00000260665.12,ENSP00000260665.7,LRPPRC,2,1394
A6NDA9,ENSG00000204033.10,ENST00000372113.7,ENSP00000361185.3,LRIT2,10,550
Q96JA1,ENSG00000144749.13,ENST00000273261.7,ENSP00000273261.3,LRIG1,3,1093
Q86SG7,ENSG00000185674.9,ENST00000333017.6,ENSP00000327533.2,LYG2,2,212
P11150,ENSG00000166035.11,ENST00000356113.10,ENSP00000348425.6,LIPC,15,499
Q9ULH4,ENSG00000156564.9,ENST00000338305.7,ENSP00000345985.6,LRFN2,6,789
Q96S90,ENSG00000163155.12,ENST00000368908.10,ENSP00000357904.5,LYSMD1,1,227
Q9BZ81,ENSG00000188408.5,ENST00000602297.1,ENSP00000473493.1,MAGEB5,X,275
Q05BQ5,ENSG00000011258.16,ENST00000415868.5,ENSP00000403946.1,MBTD1,17,628
Q99750,ENSG00000112559.14,ENST00000230321.10,ENSP00000230321.6,MDFI,6,246
P43360,ENSG00000197172.10,ENST00000616035.4,ENSP00000480637.1,MAGEA6,X,314
Q6ZN28,ENSG00000183742.13,ENST00000589011.1,ENSP00000466864.1,MACC1,7,852
Q8NFP4,ENSG00000112139.16,ENST00000434837.8,ENSP00000402584.2,MDGA1,6,955
P23368,ENSG00000082212.13,ENST00000321341.11,ENSP00000321070.5,ME2,18,584
Q8NA82,ENSG00000173838.12,ENST00000311269.10,ENSP00000311496.5,MARCHF10,17,808
P25205,ENSG00000112118.20,ENST00000596288.7,ENSP00000472940.2,MCM3,6,808
Q96T58,ENSG00000065526.12,ENST00000375759.8,ENSP00000364912.3,SPEN,1,3664
Q9UH92,ENSG00000108788.11,ENST00000246912.8,ENSP00000246912.3,MLX,17,298
P24347,ENSG00000099953.10,ENST00000215743.8,ENSP00000215743.3,MMP11,22,488
Q96PC5,ENSG00000150527.17,ENST00000640607.1,ENSP00000491014.1,MIA2,14,1412
Q15049,ENSG00000100427.15,ENST00000311597.9,ENSP00000310375.5,MLC1,22,377
P19105,ENSG00000101608.12,ENST00000536605.1,ENSP00000441231.1,MYL12A,18,171
Q99549,ENSG00000196199.14,ENST00000361479.10,ENSP00000355388.4,MPHOSPH8,13,860
Q96KJ4,ENSG00000162006.9,ENST00000442466.1,ENSP00000415767.1,MSLNL,16,702
O15403,ENSG00000108932.12,ENST00000580666.6,ENSP00000462985.1,SLC16A6,17,523
P43246,ENSG00000095002.15,ENST00000233146.7,ENSP00000233146.2,MSH2,2,934
O95907,ENSG00000100156.10,ENST00000320521.9,ENSP00000321735.5,SLC16A8,22,504
P12872,ENSG00000096395.11,ENST00000430124.7,ENSP00000388825.2,MLN,6,115
Q765P7,ENSG00000132613.15,ENST00000338779.11,ENSP00000341171.6,MTSS2,16,747
Q8WXI7,ENSG00000181143.15,ENST00000397910.8,ENSP00000381008.2,MUC16,19,14507
Q5SSG8,ENSG00000204544.5,ENST00000376296.3,ENSP00000365473.3,MUC21,6,566
P48039,ENSG00000168412.6,ENST00000307161.5,ENSP00000302811.5,MTNR1A,4,350
O00746,ENSG00000103202.13,ENST00000219479.7,ENSP00000219479.2,NME4,16,187
Q09161,ENSG00000136937.13,ENST00000375147.8,ENSP00000364289.3,NCBP1,9,790
Q14324,ENSG00000086967.10,ENST00000357701.6,ENSP00000350332.4,MYBPC2,19,1141
Q8IZF0,ENSG00000102452.17,ENST00000251127.11,ENSP00000251127.6,NALCN,13,1738
P25189,ENSG00000158887.18,ENST00000533357.5,ENSP00000432943.1,MPZ,1,248
Q96S97,ENSG00000179820.16,ENST00000391771.1,ENSP00000375651.1,MYADM,19,322
Q02083,ENSG00000138744.16,ENST00000286733.9,ENSP00000286733.4,NAAA,4,359
O15259,ENSG00000144061.12,ENST00000393272.7,ENSP00000376953.3,NPHP1,2,732
Q8N4C6,ENSG00000100503.24,ENST00000382041.7,ENSP00000371472.3,NIN,14,2090
Q15466,ENSG00000131910.5,ENST00000254227.4,ENSP00000254227.3,NR0B2,1,257
O00712,ENSG00000147862.17,ENST00000380959.7,ENSP00000370346.3,NFIB,9,420
Q9Y2I6,ENSG00000101004.15,ENST00000278886.11,ENSP00000278886.6,NINL,20,1382
Q8N0W4,ENSG00000146938.16,ENST00000381093.6,ENSP00000370483.3,NLGN4X,X,816
Q9Y4Z2,ENSG00000122859.5,ENST00000242462.5,ENSP00000242462.4,NEUROG3,10,214
P0DPK4,ENSG00000286219.1,ENST00000578189.1,ENSP00000462298.1,NOTCH2NLC,1,236
Q14980,ENSG00000137497.17,ENST00000393695.7,ENSP00000377298.3,NUMA1,11,2115
Q96HP4,ENSG00000154814.14,ENST00000605932.5,ENSP00000475547.1,OXNAD1,3,312
Q8IXM7,ENSG00000182950.3,ENST00000332145.3,ENSP00000329584.2,ODF3L1,15,274
Q8NGR3,ENSG00000165204.3,ENST00000277309.3,ENSP00000277309.2,OR1K1,9,316
Q5MIZ7,ENSG00000275052.5,ENST00000616407.2,ENSP00000483228.1,PPP4R3B,2,849
Q8NGX9,ENSG00000186440.2,ENST00000334632.1,ENSP00000334721.1,OR6P1,1,317
Q8NGL1,ENSG00000186119.8,ENST00000333976.6,ENSP00000335025.4,OR5D18,11,313
Q8NH49,ENSG00000176567.1,ENST00000320048.1,ENSP00000321506.1,OR4X1,11,305
Q8NGL7,ENSG00000181927.3,ENST00000641760.1,ENSP00000493384.1,OR4P4,11,312
Q8NH40,ENSG00000181803.3,ENST00000320704.3,ENSP00000313110.3,OR6S1,14,331
Q8NGT5,ENSG00000179468.5,ENST00000350513.2,ENSP00000316518.3,OR9A2,7,310
A6NHG9,ENSG00000236032.3,ENST00000437310.1,ENSP00000401706.1,OR5H14,3,310
Q8NH79,ENSG00000221931.2,ENST00000327930.2,ENSP00000333724.2,OR6X1,11,312
P0DMB1,ENSG00000255378.1,ENST00000528972.1,ENSP00000436580.1,PRR23D2,8,279
Q7RTS6,ENSG00000183034.13,ENST00000331427.9,ENSP00000332528.4,OTOP2,17,562
Q06416,ENSG00000212993.5,ENST00000465342.4,ENSP00000419298.2,POU5F1B,8,359
O43913,ENSG00000164815.11,ENST00000297431.9,ENSP00000297431.4,ORC5,7,435
Q8NHW6,ENSG00000178602.8,ENST00000391989.6,ENSP00000375849.2,OTOS,2,89
Q08499,ENSG00000113448.19,ENST00000340635.11,ENSP00000345502.6,PDE4D,5,809
Q9Y5H7,ENSG00000204965.9,ENST00000529859.2,ENSP00000436557.1,PCDHA5,5,936
P27815,ENSG00000065989.16,ENST00000380702.7,ENSP00000370078.3,PDE4A,19,886
Q9BXP8,ENSG00000116183.11,ENST00000367662.5,ENSP00000356634.3,PAPPA2,1,1791
O00444,ENSG00000142731.11,ENST00000270861.10,ENSP00000270861.5,PLK4,4,970
Q96FC7,ENSG00000165443.12,ENST00000373880.9,ENSP00000362987.4,PHYHIPL,10,376
Q5VWM3,ENSG00000282212.2,ENST00000632307.2,ENSP00000488059.2,PRAMEF18,CHR_HG1342_HG2282_PATCH,479
Q99935,ENSG00000171199.11,ENST00000399575.7,ENSP00000382485.2,OPRPN,4,248
Q8NAV1,ENSG00000134748.13,ENST00000257181.10,ENSP00000257181.8,PRPF38A,1,312
B1ATL7,ENSG00000183631.5,ENST00000371125.4,ENSP00000360166.3,PRR32,X,298
Q9NZ81,ENSG00000205352.11,ENST00000549135.1,ENSP00000447777.1,PRR13,12,148
P85299,ENSG00000186654.21,ENST00000336985.11,ENSP00000337464.6,PRR5,22,388
Q15256,ENSG00000153233.13,ENST00000283228.7,ENSP00000283228.2,PTPRR,12,657
Q15257,ENSG00000119383.19,ENST00000337738.5,ENSP00000337448.1,PTPA,9,358
Q9HD43,ENSG00000080031.10,ENST00000376350.8,ENSP00000365528.2,PTPRH,19,1115
P15153,ENSG00000128340.15,ENST00000249071.11,ENSP00000249071.6,RAC2,22,192
Q96S59,ENSG00000010017.13,ENST00000011619.6,ENSP00000011619.3,RANBP9,6,729
P11234,ENSG00000144118.14,ENST00000420510.5,ENSP00000414224.1,RALB,2,206
Q8NFP0,ENSG00000179165.11,ENST00000454782.3,ENSP00000419944.1,PXT1,6,134
P51157,ENSG00000157869.15,ENST00000330852.10,ENSP00000328551.5,RAB28,4,221
Q96QF0,ENSG00000127328.21,ENST00000550536.5,ENSP00000447300.1,RAB3IP,12,476
Q8N4Z0,ENSG00000188060.7,ENST00000465518.2,ENSP00000491546.1,RAB42,1,218
Q9H477,ENSG00000171174.15,ENST00000302188.8,ENSP00000306817.3,RBKS,2,322
Q6UW15,ENSG00000143954.13,ENST00000272324.10,ENSP00000272324.5,REG3G,2,175
O75787,ENSG00000182220.15,ENST00000636580.2,ENSP00000490083.1,ATP6AP2,X,350
P29558,ENSG00000153250.20,ENST00000348849.8,ENSP00000294904.6,RBMS1,2,406
P53805,ENSG00000159200.18,ENST00000313806.9,ENSP00000320768.4,RCAN1,21,252
Q9UBG7,ENSG00000124232.11,ENST00000343694.8,ENSP00000341243.3,RBPJL,20,517
Q8NDN9,ENSG00000136144.12,ENST00000258646.3,ENSP00000258646.3,RCBTB1,13,531
Q7Z4M0,ENSG00000183324.11,ENST00000331090.11,ENSP00000328423.6,REC114,15,266
O95294,ENSG00000111344.11,ENST00000261729.9,ENSP00000261729.5,RASAL1,12,804
P06400,ENSG00000139687.15,ENST00000267163.5,ENSP00000267163.4,RB1,13,928
O43374,ENSG00000105808.17,ENST00000262940.11,ENSP00000262940.7,RASA4,7,803
Q9NW64,ENSG00000086589.12,ENST00000199814.9,ENSP00000199814.4,RBM22,5,420
Q9BVS4,ENSG00000058729.11,ENST00000283109.8,ENSP00000283109.3,RIOK2,5,552
Q13546,ENSG00000137275.14,ENST00000380409.2,ENSP00000369773.2,RIPK1,6,671
Q3KRB8,ENSG00000285077.2,ENST00000428041.4,ENSP00000392760.2,ARHGAP11B,15,267
Q8NHV9,ENSG00000101883.5,ENST00000217999.3,ENSP00000217999.1,RHOXF1,X,184
Q9NPQ8,ENSG00000177963.14,ENST00000526104.5,ENSP00000432008.1,RIC8A,11,531
O15034,ENSG00000060709.15,ENST00000261655.8,ENSP00000261655.4,RIMBP2,12,1052
P57771,ENSG00000135824.12,ENST00000367556.5,ENSP00000356527.1,RGS8,1,180
P62913,ENSG00000142676.14,ENST00000643754.2,ENSP00000496250.1,RPL11,1,178
Q9H1D9,ENSG00000132664.12,ENST00000377603.5,ENSP00000366828.4,POLR3F,20,316
Q9H633,ENSG00000239927.6,ENST00000376642.8,ENSP00000365829.4,RPP21,CHR_HSCHR6_MHC_SSTO_CTG1,154
Q5SRI9,ENSG00000172469.16,ENST00000358812.9,ENSP00000351669.4,MANEA,6,462
Q4G0A6,ENSG00000106125.14,ENST00000265299.6,ENSP00000265299.6,MINDY4,7,757
P53778,ENSG00000188130.14,ENST00000215659.13,ENSP00000215659.8,MAPK12,22,367
Q9NQG6,ENSG00000100335.15,ENST00000404569.5,ENSP00000385191.1,MIEF1,22,463
P55081,ENSG00000140259.7,ENST00000267812.4,ENSP00000267812.3,MFAP1,15,439
P55082,ENSG00000037749.12,ENST00000322602.9,ENSP00000322956.5,MFAP3,5,362
Q9UL63,ENSG00000128585.18,ENST00000352689.11,ENSP00000323527.6,MKLN1,7,735
Q92887,ENSG00000023839.12,ENST00000647814.1,ENSP00000497274.1,ABCC2,10,1545
Q9H4K7,ENSG00000101181.17,ENST00000370823.7,ENSP00000359859.3,MTG2,20,406
P42898,ENSG00000177000.13,ENST00000376590.9,ENSP00000365775.3,MTHFR,1,656
Q86U44,ENSG00000165819.12,ENST00000298717.9,ENSP00000298717.3,METTL3,14,580
Q9BV57,ENSG00000182551.14,ENST00000327435.11,ENSP00000333666.3,ADI1,2,179
Q96DR8,ENSG00000172551.11,ENST00000308796.11,ENSP00000311364.5,MUCL1,12,90
Q13585,ENSG00000102195.10,ENST00000218316.4,ENSP00000218316.3,GPR50,X,617
P13591,ENSG00000149294.16,ENST00000316851.11,ENSP00000318472.8,NCAM1,11,858
Q9H1M0,ENSG00000198088.10,ENST00000372466.8,ENSP00000361544.4,NUP62CL,X,184
Q69YI7,ENSG00000171169.9,ENST00000373078.5,ENSP00000362170.4,NAIF1,9,327
Q86W28,ENSG00000179709.8,ENST00000291971.7,ENSP00000291971.3,NLRP8,19,1048
Q7Z401,ENSG00000174485.15,ENST00000431932.6,ENSP00000396830.2,DENND4A,15,1863
P05976,ENSG00000168530.16,ENST00000352451.4,ENSP00000307280.4,MYL1,2,194
Q6UXI9,ENSG00000168743.12,ENST00000379987.6,ENSP00000369323.2,NPNT,4,565
Q9H9Q4,ENSG00000187736.12,ENST00000356853.9,ENSP00000349313.5,NHEJ1,2,299
O60936,ENSG00000140939.14,ENST00000268605.11,ENSP00000268605.7,NOL3,16,208
O15130,ENSG00000139574.8,ENST00000267017.3,ENSP00000267017.3,NPFF,12,113
Q76FK4,ENSG00000198000.12,ENST00000545558.5,ENSP00000441140.1,NOL8,9,1167
P59044,ENSG00000174885.12,ENST00000312165.5,ENSP00000309767.4,NLRP6,11,892
Q5HYW2,ENSG00000204131.9,ENST00000633930.1,ENSP00000488668.1,NHSL2,X,1225
Q9Y5X5,ENSG00000056291.17,ENST00000308744.10,ENSP00000307822.6,NPFFR2,4,522
O75200,ENSG00000233232.7,ENST00000452313.5,ENSP00000405348.1,NPIPB7,16,414
Q99784,ENSG00000130558.19,ENST00000371793.7,ENSP00000360858.3,OLFM1,9,485
Q16649,ENSG00000165030.4,ENST00000297689.4,ENSP00000297689.2,NFIL3,9,462
Q96SB3,ENSG00000108819.11,ENST00000612501.2,ENSP00000478767.1,PPP1R9B,17,817
Q7Z417,ENSG00000108256.9,ENST00000225388.9,ENSP00000225388.3,NUFIP2,17,695
Q8TAD7,ENSG00000235162.8,ENST00000443585.5,ENSP00000448536.1,C12orf75,12,63
O76001,ENSG00000233636.1,ENST00000430478.1,ENSP00000388205.1,OR2J3,CHR_HSCHR6_MHC_MANN_CTG1,311
A6NCV1,ENSG00000197706.3,ENST00000343870.4,ENSP00000342836.4,OR6C74,12,312
P47890,ENSG00000183024.3,ENST00000328890.2,ENSP00000331545.2,OR1G1,17,313
Q9GZK6,ENSG00000204702.5,ENST00000377171.3,ENSP00000366376.3,OR2J1,6,312
P0C645,ENSG00000276240.2,ENST00000641792.1,ENSP00000493111.1,OR4E1,14,315
P22059,ENSG00000110048.12,ENST00000263847.6,ENSP00000263847.1,OSBP,11,807
P00480,ENSG00000036473.8,ENST00000039007.5,ENSP00000039007.4,OTC,X,354
O00330,ENSG00000110435.12,ENST00000227868.9,ENSP00000227868.4,PDHX,11,501
Q8NGS6,ENSG00000204246.3,ENST00000374781.2,ENSP00000363913.2,OR13C3,9,347
Q8NGC1,ENSG00000196832.4,ENST00000357366.4,ENSP00000349930.3,OR11G2,14,345
Q86Y26,ENSG00000184507.16,ENST00000614490.4,ENSP00000478903.1,NUTM1,15,1132
Q8NGY0,ENSG00000279111.2,ENST00000623167.1,ENSP00000485609.1,OR10X1,1,326
Q8NGT2,ENSG00000168828.5,ENST00000377981.3,ENSP00000367219.2,OR13J1,9,312
Q8NH80,ENSG00000197309.3,ENST00000318666.6,ENSP00000323895.6,OR10D3,11,312
Q6UW60,ENSG00000115257.15,ENST00000300954.9,ENSP00000300954.5,PCSK4,19,755
Q9H999,ENSG00000120137.7,ENST00000239231.7,ENSP00000239231.6,PANK3,5,370
Q08493,ENSG00000105650.22,ENST00000594465.7,ENSP00000470210.1,PDE4C,19,712
Q9NR12,ENSG00000196923.14,ENST00000355841.7,ENSP00000348099.2,PDLIM7,5,457
P49023,ENSG00000089159.16,ENST00000228307.11,ENSP00000228307.7,PXN,12,591
Q9Y5B6,ENSG00000159086.15,ENST00000331923.9,ENSP00000328992.4,PAXBP1,21,917
Q9Y6X2,ENSG00000131788.16,ENST00000393045.7,ENSP00000376765.2,PIAS3,1,628
P62140,ENSG00000213639.10,ENST00000358506.6,ENSP00000351298.2,PPP1CB,2,327
Q15124,ENSG00000154330.13,ENST00000396396.6,ENSP00000379678.1,PGM5,9,567
O94880,ENSG00000106443.16,ENST00000403050.7,ENSP00000385795.3,PHF14,7,888
Q9C0D0,ENSG00000112137.17,ENST00000332995.11,ENSP00000329880.8,PHACTR1,6,580
Q969W9,ENSG00000124225.16,ENST00000341744.8,ENSP00000345826.3,PMEPA1,20,287
O00469,ENSG00000152952.12,ENST00000360060.7,ENSP00000353170.3,PLOD2,3,737
Q96T60,ENSG00000039650.12,ENST00000596014.5,ENSP00000472300.1,PNKP,19,521
Q9NUX5,ENSG00000128513.16,ENST00000668382.1,ENSP00000499546.1,POT1,7,634
Q5VWM5,ENSG00000204501.7,ENST00000376152.2,ENSP00000365322.1,PRAMEF15,1,478
P50336,ENSG00000143224.18,ENST00000367999.9,ENSP00000356978.4,PPOX,1,477
Q8TAP8,ENSG00000160813.7,ENST00000292330.3,ENSP00000292330.2,PPP1R35,7,253
Q4KWH8,ENSG00000114805.17,ENST00000340059.11,ENSP00000345988.7,PLCH1,3,1693
Q9H4Q3,ENSG00000112238.11,ENST00000369215.4,ENSP00000358217.4,PRDM13,6,707
Q8N131,ENSG00000152558.15,ENST00000398136.7,ENSP00000381204.2,TMEM123,11,208
P23284,ENSG00000166794.4,ENST00000300026.3,ENSP00000300026.3,PPIB,15,216
Q13882,ENSG00000101213.7,ENST00000542869.3,ENSP00000442460.2,PTK6,20,451
P18031,ENSG00000196396.10,ENST00000371621.5,ENSP00000360683.3,PTPN1,20,435
O60896,ENSG00000122679.8,ENST00000481345.1,ENSP00000419012.1,RAMP3,7,148
Q96PU8,ENSG00000112531.17,ENST00000361752.8,ENSP00000355094.3,QKI,6,341
Q5JT25,ENSG00000147127.8,ENST00000374473.6,ENSP00000363597.2,RAB41,X,222
P20339,ENSG00000144566.11,ENST00000273047.9,ENSP00000273047.4,RAB5A,3,215
Q96IC2,ENSG00000005189.19,ENST00000564274.5,ENSP00000457616.1,REXO5,16,774
Q5RL73,ENSG00000127993.16,ENST00000265732.10,ENSP00000265732.5,RBM48,7,367
Q86YV0,ENSG00000105122.13,ENST00000343625.12,ENSP00000341905.5,RASAL3,19,1011
Q9P227,ENSG00000275832.5,ENST00000622683.5,ENSP00000481862.1,ARHGAP23,17,1491
Q8WXH6,ENSG00000172476.4,ENST00000372633.1,ENSP00000361716.1,RAB40A,X,277
Q9Y644,ENSG00000169733.12,ENST00000310496.9,ENSP00000307971.4,RFNG,17,331
O75678,ENSG00000128253.15,ENST00000248983.8,ENSP00000248983.5,RFPL2,22,378
Q6ZUM4,ENSG00000159314.11,ENST00000428638.5,ENSP00000403323.1,ARHGAP27,17,889
Q9C0H5,ENSG00000147799.11,ENST00000276826.5,ENSP00000276826.5,ARHGAP39,8,1083
A6NNM3,ENSG00000274600.1,ENST00000620804.1,ENSP00000479326.1,RIMBP3B,22,1639
Q9NS28,ENSG00000150681.10,ENST00000367460.4,ENSP00000356430.3,RGS18,1,235
Q9BYZ6,ENSG00000008853.16,ENST00000251822.6,ENSP00000251822.6,RHOBTB2,8,727
O76081,ENSG00000147509.14,ENST00000297313.8,ENSP00000297313.3,RGS20,8,388
P0DJD1,ENSG00000185304.15,ENST00000398146.4,ENSP00000381214.3,RGPD2,2,1756
Q92546,ENSG00000107185.10,ENST00000378078.5,ENSP00000367318.4,RGP1,9,391
P62888,ENSG00000156482.11,ENST00000287038.8,ENSP00000287038.3,RPL30,8,115
P49207,ENSG00000109475.16,ENST00000394668.2,ENSP00000378163.2,RPL34,4,117
P36578,ENSG00000174444.15,ENST00000307961.11,ENSP00000311430.6,RPL4,15,427
P62891,ENSG00000198918.8,ENST00000361575.4,ENSP00000355315.3,RPL39,X,51
Q8TDU9,ENSG00000173080.5,ENST00000368318.4,ENSP00000357301.3,RXFP4,1,374
Q9H9J2,ENSG00000135900.4,ENST00000258383.4,ENSP00000258383.3,MRPL44,2,332
Q9NRR4,ENSG00000113360.16,ENST00000511367.6,ENSP00000425979.2,DROSHA,5,1374
Q9NYK5,ENSG00000154719.13,ENST00000352957.8,ENSP00000284967.6,MRPL39,21,338
Q6XPR3,ENSG00000215853.3,ENST00000316073.3,ENSP00000317895.3,RPTN,1,784
P62701,ENSG00000198034.11,ENST00000316084.10,ENSP00000362744.4,RPS4X,X,263
Q9NSD5,ENSG00000010379.16,ENST00000343164.9,ENSP00000339260.4,SLC6A13,12,602
Q15436,ENSG00000100934.15,ENST00000307712.11,ENSP00000306881.6,SEC23A,14,765
Q6Q0C1,ENSG00000140107.12,ENST00000361529.5,ENSP00000354886.3,SLC25A47,14,308
Q15437,ENSG00000101310.17,ENST00000377465.6,ENSP00000366685.1,SEC23B,20,767
Q8TDM5,ENSG00000177202.3,ENST00000321762.3,ENSP00000312774.1,SPACA4,19,124
Q96GQ5,ENSG00000140688.17,ENST00000430477.6,ENSP00000398074.3,C16orf58,16,468
Q9HCY8,ENSG00000189334.9,ENST00000344616.4,ENSP00000340463.2,S100A14,1,104
Q8IVJ1,ENSG00000133065.11,ENST00000367137.4,ENSP00000356105.3,SLC41A1,1,513
A4IF30,ENSG00000151812.15,ENST00000339762.10,ENSP00000342518.6,SLC35F4,14,521
P33763,ENSG00000196420.7,ENST00000368717.2,ENSP00000357706.2,S100A5,1,92
P25815,ENSG00000163993.7,ENST00000296370.4,ENSP00000296370.3,S100P,4,95
Q9HBR0,ENSG00000157637.13,ENST00000374759.8,ENSP00000363891.3,SLC38A10,17,1119
Q6T423,ENSG00000196600.12,ENST00000306494.10,ENSP00000307443.6,SLC22A25,11,547
Q9UBE0,ENSG00000142230.13,ENST00000270225.12,ENSP00000270225.6,SAE1,19,346
Q8N6R1,ENSG00000151778.11,ENST00000379179.8,ENSP00000368477.3,SERP2,13,65
Q2NKQ1,ENSG00000167037.18,ENST00000400359.4,ENSP00000383212.4,SGSM1,22,1148
Q15464,ENSG00000107338.10,ENST00000377707.4,ENSP00000366936.3,SHB,9,509
Q08357,ENSG00000168575.10,ENST00000520179.5,ENSP00000429712.1,SLC20A2,8,652
P58004,ENSG00000285069.2,ENST00000645231.2,ENSP00000496365.1,SESN2,CHR_HSCHR1_8_CTG3,480
Q8TEC5,ENSG00000156463.18,ENST00000511217.1,ENSP00000424497.1,SH3RF2,5,729
Q9NTG7,ENSG00000142082.15,ENST00000382743.9,ENSP00000372191.4,SIRT3,11,399
